InputEmotion,TargetEmotion,Temperature,Humidity,Illumination,Volume,Sound,Color-Temperature,ResultEmotion
4,4,25.545,40.225,381.726,38.731,4,6800,4
4,4,25.512,44.878,377.454,38.436,4,6800,2
2,4,25.496,49.351,99.901,38.419,4,6800,4
4,4,25.496,46.538,109.596,38.271,4,6800,4
4,4,25.611,46.246,96.121,38.238,4,6800,4
4,1,25.142,44.803,138.354,38.6,1,5000,2
2,1,25.479,45.621,599.299,37.975,1,5000,1
1,1,25.265,36.156,601.435,37.877,1,5000,4
4,4,25.479,49.236,96.614,37.828,4,6800,1
1,4,25.75,47.748,98.915,37.729,4,6800,1
1,4,25.274,44.734,87.74,37.351,4,6800,2
2,4,25.438,40.08,111.404,37.466,4,6800,2
2,4,25.668,47.163,91.684,37.532,4,6800,2
2,4,25.734,38.193,101.708,37.367,4,6800,1
1,4,25.8,40.386,99.901,37.532,4,6800,4
4,4,25.758,39.462,90.698,37.236,4,6800,4
4,4,25.775,50.452,92.67,36.973,4,6800,1
1,4,25.824,39.311,94.807,37.006,1,6800,4
4,1,25.865,48.704,128.001,36.924,1,5000,1
1,1,25.652,47.445,614.089,36.924,4,5000,2
4,4,23.515,38.207,780.884,66.257,4,6800,4
4,4,23.63,41.516,93.821,74.375,4,6800,1
1,4,23.622,49.631,83.468,73.323,4,6800,4
4,4,23.729,62.376,81.66,57.974,4,6800,4
4,4,23.778,41.283,81.496,75.328,4,6800,4
4,1,23.68,46.019,73.279,52.371,1,5000,1
1,1,23.663,36.024,536.854,89.986,1,5000,4
4,1,23.671,53.604,544.742,64.433,1,5000,4
4,4,23.704,43.837,412.949,73.109,4,6800,1
1,4,23.688,34.197,79.195,73.093,4,6800,1
1,4,23.606,45.171,77.388,72.55,4,6800,3
3,4,23.762,33.687,77.881,59.141,4,6800,1
1,4,23.598,43.225,64.57,80.077,4,6800,4
4,4,23.63,37.201,77.881,73.619,4,6800,2
2,4,23.556,47.278,76.895,66.782,4,6800,1
1,4,23.499,39.469,57.832,52.962,4,6800,2
2,4,23.532,43.189,57.997,64.679,4,6800,3
3,4,23.556,41.858,57.832,76.692,4,6800,4
4,1,23.515,44.984,63.748,60.899,1,5000,1
4,4,24.592,45.628,806.848,64.975,4,6800,4
4,4,24.723,36.948,903.967,61.968,4,6800,1
1,4,24.592,54.189,453.539,59.47,4,6800,4
4,4,25.2,35.623,82.318,66.552,4,6800,4
4,4,25.208,38.44,84.454,71.532,4,6800,4
4,1,25.372,48.944,95.628,59.486,1,5000,1
1,1,25.298,38.407,79.195,55.23,1,5000,1
1,1,25.578,45.802,70.979,68.557,1,5000,1
1,4,25.956,47.863,430.861,63.43,4,6800,4
4,4,26.046,48.336,539.154,67.259,4,6800,4
4,4,26.062,45.44,424.452,65.517,4,6800,2
2,4,26.013,36.751,79.688,45.929,4,6800,4
4,4,26.145,45.325,67.199,81.967,4,6800,2
2,4,26.325,49.467,83.632,64.219,4,6800,1
1,4,26.638,39.035,86.261,53.488,4,6800,3
3,4,26.21,37.822,79.031,76.954,4,6800,1
1,4,26.646,42.966,69.664,59.7,4,6800,1
1,4,26.777,51.248,90.698,52.995,4,6800,1
1,1,26.736,39.531,85.604,69.494,1,5000,3
3,1,27.065,49.066,81.167,56.315,1,5000,4
4,4,23.614,45.871,107.131,70.233,4,6800,4
4,4,23.524,45.519,105.981,73.339,4,6800,4
4,4,23.918,44.905,104.831,79.337,4,6800,2
2,4,24.288,40.162,101.873,80.882,4,6800,4
4,4,24.378,45.667,107.46,64.202,4,6800,1
1,1,24.46,45.605,485.419,71.696,1,5000,4
4,1,24.83,40.405,439.242,67.736,1,5000,4
4,1,25.118,41.868,400.46,72.041,1,5000,1
1,4,24.937,47.652,106.474,76.379,4,6800,4
4,4,25.142,46.058,110.254,79.814,4,6800,1
1,4,25.192,38.677,117.648,67.538,4,6800,4
4,4,25.003,42.719,101.544,62.904,4,6800,1
1,4,25.726,48.06,110.418,62.181,4,6800,4
4,4,25.422,40.422,96.779,68.787,4,6800,4
4,4,25.783,45.509,103.352,55.214,4,6800,2
2,4,26.128,30.956,93.328,70.973,4,6800,4
4,4,26.12,42.801,112.719,62.231,4,6800,4
4,4,26.498,41.536,107.789,61.146,4,6800,2
2,1,26.49,41.151,592.233,67.029,1,5000,1
1,1,26.35,49.795,450.581,74.161,1,5000,2